iteration = 107:10000011001001001100111001110010111011010100010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.690322, P = 1
iteration = 108:10000011001001001100111001110010111011011100010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.141172, P = 1
iteration = 109:10000011001001001101111001110010111011011100010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.010458, P = 1
iteration = 110:10000011001001001101111001110010111011011100011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.829368, P = 1
iteration = 111:10000011001001001101111001100010111011011100011100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.355056, P = 1
iteration = 112:10000011001001001101111001100010111011011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.677595, P = 1
iteration = 113:10000011001001001101111001100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.854376, P = 1
iteration = 114:10000011001001001100111001100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.947063, P = 1
iteration = 115:10000001001001001100111001100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.467346, P = 1
iteration = 116:10000001001011001100111001100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.425365, P = 1
iteration = 117:10000001001011001100111011100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.230075, P = 1
iteration = 118:10001001001011001100111011100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.806053, P = 1
iteration = 119:10001001001011001100101011100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.450222, P = 1
iteration = 120:10001001001001001100101011100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.743459, P = 1
iteration = 121:10001001001001001100101011100010111001111100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.177066, P = 1
iteration = 122:10001001001001001100101011100010111001111100111101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.627761, P = 1
iteration = 123:10001001001001001100101011100010111001111100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.990399, P = 1
