iteration = 140:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.343793, P = 0.712938
iteration = 141:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.00407315, P = 2.53163e-10
iteration = 142:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.834093, P = 1.26992e-05
iteration = 143:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.249156, P = 1.0179e-10
iteration = 144:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.944448, P = 4.05099e-21
iteration = 145:1111111001, f(current_state) = 761, rand()/RAND_MAX = 0.542944, P = 2.41444e-42
iteration = 146:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.819721, P = 2.14669
iteration = 147:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.0336623, P = 0.210338
iteration = 148:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.458095, P = 7.78421e-23
iteration = 149:1111110101, f(current_state) = 757, rand()/RAND_MAX = 0.940627, P = 0.816347
iteration = 150:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.518206, P = 0.812974
iteration = 151:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.640347, P = 1.34107e-06
iteration = 152:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.796643, P = 0.0317615
iteration = 153:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.139869, P = 0
iteration = 154:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.0914285, P = 0
iteration = 155:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.687988, P = 0.400013
iteration = 156:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.279575, P = 0.000564447
iteration = 157:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.0280913, P = 3.03836e-27
iteration = 158:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.118602, P = 8.73912e-28
iteration = 159:1111110100, f(current_state) = 756, rand()/RAND_MAX = 0.240629, P = 2.45048e-28
iteration = 160:1111110110, f(current_state) = 758, rand()/RAND_MAX = 0.117018, P = 1.66001
iteration = 161:1111110110, f(current_state) = 758, rand()/RAND_MAX = 0.96265, P = 0.0159652
iteration = 162:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.101903, P = 1.30195
iteration = 163:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.316415, P = 3.28354e-08
iteration = 164:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.673977, P = 5.33618e-16
iteration = 165:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.115075, P = 0
iteration = 166:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.393882, P = 1.56669e-32
iteration = 167:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.597613, P = 3.5148e-33
iteration = 168:1111110111, f(current_state) = 759, rand()/RAND_MAX = 0.93299, P = 0.00851576
iteration = 169:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.217211, P = 11.3765
iteration = 170:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.732267, P = 0.733339
iteration = 171:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.45964, P = 1.59806e-09
iteration = 172:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.597261, P = 1.38118
iteration = 173:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.125511, P = 6.93254e-10
iteration = 174:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.764978, P = 2.0321e-19
iteration = 175:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.778913, P = 8.44257e-20
iteration = 176:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.149712, P = 0.496471
iteration = 177:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.818735, P = 0.239539
iteration = 178:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.737874, P = 8.58377e-06
iteration = 179:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.811614, P = 6.76525e-06
iteration = 180:1111111100, f(current_state) = 764, rand()/RAND_MAX = 0.392193, P = 0.684147
iteration = 181:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.604034, P = 1.47304
iteration = 182:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.68211, P = 0.673522
iteration = 183:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.9766, P = 0.668112
iteration = 184:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.939129, P = 0.00138163
iteration = 185:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.639519, P = 4.53178e-24
iteration = 186:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.0990104, P = 1.23008e-12
iteration = 187:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.683238, P = 0
iteration = 188:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.586889, P = 6.30121e-07
iteration = 189:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.412134, P = 2.21699e-13
iteration = 190:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.174888, P = 0
iteration = 191:1111111101, f(current_state) = 765, rand()/RAND_MAX = 0.233863, P = 0
iteration = 192:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.932609, P = 2.6312
iteration = 193:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.576216, P = 3.64267e-28
iteration = 194:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.187749, P = 1.00083e-07
iteration = 195:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.0823344, P = 0
iteration = 196:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.314518, P = 7.03054e-30
iteration = 197:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.366017, P = 0.0138278
iteration = 198:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.888016, P = 6.64453e-16
iteration = 199:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.611728, P = 0.572811
iteration = 200:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.536427, P = 2.47345e-32
iteration = 201:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.498541, P = 0.0982049
iteration = 202:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.350406, P = 0.553211
iteration = 203:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.331709, P = 1.6189e-17
iteration = 204:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.990528, P = 7.35446e-18
iteration = 205:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.289162, P = 1.81319e-09
iteration = 206:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.93489, P = 0.00588859
iteration = 207:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.490016, P = 0.07282
iteration = 208:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.575624, P = 0.0690289
iteration = 209:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.537982, P = 0.255664
iteration = 210:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.454061, P = 0.00382228
iteration = 211:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.343315, P = 0.241683
